시도,시군구,세대수,세대당_인구,남자_인구수,여자_인구수,남녀_비율,id
서울,종로구,74497,2.02,73288,77095,0.95,1
서울,중구,63354,1.99,61697,64395,0.96,2
서울,용산구,111586,2.06,110527,118904,0.93,3
서울,성동구,135937,2.19,145258,152139,0.95,4
서울,광진구,166307,2.1,168879,180695,0.93,5
서울,동대문구,166451,2.08,171392,174201,0.98,6
서울,중랑구,183310,2.15,195349,199065,0.98,7
서울,성북구,195064,2.26,213431,228381,0.93,8
서울,강북구,145559,2.14,152028,159745,0.95,9
서울,도봉구,138966,2.37,160855,168705,0.95,10
서울,노원구,217897,2.43,255624,273263,0.94,11
서울,은평구,210664,2.28,230640,248884,0.93,12
서울,서대문구,143323,2.18,149920,162800,0.92,13
서울,마포구,177544,2.11,176664,197726,0.89,14
서울,양천구,179677,2.55,224908,233045,0.97,15
서울,강서구,265252,2.21,283697,303239,0.94,16
서울,구로구,178367,2.27,200098,204977,0.98,17
서울,금천구,112570,2.06,117762,114488,1.03,18
서울,영등포구,179787,2.08,184905,188444,0.98,19
서울,동작구,183537,2.15,191211,203954,0.94,20
서울,관악구,273715,1.83,250829,248911,1.01,21
서울,서초구,173998,2.47,205037,223882,0.92,22
서울,강남구,233484,2.32,258753,282480,0.92,23
서울,송파구,280135,2.4,324317,347195,0.93,24
서울,강동구,193095,2.37,225206,231958,0.97,25
부산,중구,23456,1.78,20411,21241,0.96,26
부산,서구,53248,2.03,52341,55606,0.94,27
부산,동구,45873,1.96,44003,45695,0.96,28
부산,영도구,54866,2.1,56700,58420,0.97,29
부산,부산진구,169203,2.11,172757,184485,0.94,30
부산,동래구,114058,2.39,132759,139717,0.95,31
부산,남구,117429,2.3,132436,138170,0.96,32
부산,북구,120694,2.39,142725,145651,0.98,33
부산,해운대구,169825,2.38,194638,209285,0.93,34
부산,사하구,139108,2.28,158222,159036,0.99,35
부산,금정구,107358,2.2,115428,120581,0.96,36
부산,강서구,55158,2.39,68116,63663,1.07,37
부산,연제구,91412,2.29,101066,108448,0.93,38
부산,수영구,82989,2.13,83688,93287,0.9,39
부산,사상구,97113,2.22,109108,106601,1.02,40
부산,기장군,72166,2.36,84220,85919,0.98,41
대구,중구,38954,1.98,37036,39948,0.93,42
대구,동구,154372,2.22,168940,173687,0.97,43
대구,서구,83194,2.08,86639,86163,1.01,44
대구,남구,75989,1.94,70945,76537,0.93,45
대구,북구,183825,2.39,218514,220094,0.99,46
대구,수성구,169580,2.52,206873,220046,0.94,47
대구,달서구,234982,2.41,279227,286151,0.98,48
대구,달성군,105689,2.43,130641,126513,1.03,49
인천,중구,67377,2.06,71833,66950,1.07,50
인천,동구,28717,2.21,32101,31445,1.02,51
인천,미추홀구,186368,2.18,204638,201487,1.02,52
인천,연수구,144316,2.58,185258,187308,0.99,53
인천,남동구,224095,2.37,263707,266709,0.99,54
인천,부평구,211043,2.38,248663,253702,0.98,55
인천,계양구,123546,2.43,149655,150198,1,56
인천,서구,221000,2.46,274761,269375,1.02,57
인천,강화군,33558,2.06,34617,34443,1.01,58
인천,옹진군,11798,1.73,11580,8787,1.32,59
광주,동구,48928,2.03,49091,50182,0.98,60
광주,서구,130512,2.29,146717,152531,0.96,61
광주,남구,92665,2.33,104128,112128,0.93,62
광주,북구,190277,2.28,215259,218185,0.99,63
광주,광산구,164004,2.48,204865,201962,1.01,64
대전,동구,104604,2.14,113088,111212,1.02,65
대전,중구,107314,2.22,117801,120739,0.98,66
대전,서구,207568,2.32,236945,244491,0.97,67
대전,유성구,149130,2.36,177640,174242,1.02,68
대전,대덕구,76148,2.3,88967,85915,1.04,69
울산,중구,92996,2.37,111559,108469,1.03,70
울산,남구,137004,2.36,164689,158194,1.04,71
울산,동구,65496,2.41,82633,75340,1.1,72
울산,북구,82511,2.65,113189,105484,1.07,73
울산,울주군,94976,2.34,114869,107764,1.07,74
경기,수원시,503104,2.37,599868,591674,1.01,75
경기,성남시,403266,2.33,465307,474441,0.98,76
경기,의정부시,195030,2.34,224416,231104,0.97,77
경기,안양시,221092,2.52,276140,281877,0.98,78
경기,부천시,342539,2.41,409982,415718,0.99,79
경기,광명시,125528,2.49,154425,158349,0.98,80
경기,평택시,234015,2.24,270183,253698,1.06,81
경기,동두천시,43291,2.17,46951,47192,0.99,82
경기,안산시,281932,2.32,335477,318973,1.05,83
경기,고양시,441878,2.44,527663,549333,0.96,84
경기,과천시,22631,2.71,30125,31184,0.97,85
경기,구리시,80745,2.46,98503,99958,0.99,86
경기,남양주시,280236,2.52,352439,355046,0.99,87
경기,오산시,97348,2.34,117949,110162,1.07,88
경기,시흥시,199896,2.41,251904,229526,1.1,89
경기,군포시,111639,2.47,137037,139002,0.99,90
경기,의왕시,63224,2.59,81480,82142,0.99,91
경기,하남시,122338,2.32,142312,140944,1.01,92
경기,용인시,415491,2.58,532935,540180,0.99,93
경기,파주시,193902,2.35,231522,224551,1.03,94
경기,이천시,96059,2.27,113002,105463,1.07,95
경기,안성시,83543,2.22,95447,89858,1.06,96
경기,김포시,181013,2.48,225141,223898,1.01,97
경기,화성시,339150,2.47,433894,402768,1.08,98
경기,광주시,160437,2.35,193232,184293,1.05,99
경기,양주시,95348,2.37,114757,111258,1.03,100
경기,포천시,70702,2.09,78233,69782,1.12,101
경기,여주시,50966,2.18,56582,54759,1.03,102
경기,연천군,21793,2,22851,20767,1.1,103
경기,가평군,31295,2,32242,30420,1.06,104
경기,양평군,56647,2.08,59048,58653,1.01,105
강원,춘천시,124658,2.26,138835,142565,0.97,106
