발생일시,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자_당사자종별,피해자_당사자종별,도로형태id,사고id
2019-01-01 00:00:00+09,1,0,0,0,0,부산,해운대구,차대사람,기타,중앙선 침범,승용차,보행자,1,1
2019-01-01 16:00:00+09,1,0,0,0,0,경북,청도군,차대차,측면충돌,안전운전 의무 불이행,승용차,사륜오토바이(ATV),5,2
2019-01-01 19:00:00+09,1,0,0,0,0,대전,서구,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,2,3
2019-01-02 03:00:00+09,1,1,1,0,0,충북,충주시,차대차,추돌,안전운전 의무 불이행,특수차,화물차,2,4
2019-01-01 03:00:00+09,1,0,0,0,0,경기,안산시,차대차,정면충돌,중앙선 침범,승용차,승용차,5,5
2019-01-01 21:00:00+09,1,0,0,0,0,경북,영천시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,6
2019-01-02 06:00:00+09,1,0,0,0,0,인천,계양구,차대차,기타,안전운전 의무 불이행,승용차,기타,5,7
2019-01-02 10:00:00+09,1,0,0,0,0,서울,중구,차대사람,횡단중,안전운전 의무 불이행,건설기계,보행자,5,8
2019-01-02 10:00:00+09,1,0,0,0,0,경기,광주시,차대차,측면충돌,중앙선 침범,자전거,승용차,2,9
2019-01-02 15:00:00+09,1,0,0,0,0,충남,서천군,차량단독,전도,안전운전 의무 불이행,화물차,없음,5,10
2019-01-02 16:00:00+09,1,0,0,0,0,전북,전주시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,11
2019-01-02 18:00:00+09,1,0,0,0,0,전북,정읍시,차대차,추돌,안전운전 의무 불이행,승용차,자전거,5,12
2019-01-02 18:00:00+09,1,0,0,0,0,경남,김해시,차대차,추돌,안전운전 의무 불이행,화물차,자전거,5,13
2019-01-02 19:00:00+09,1,0,0,0,0,경기,평택시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,14
2019-01-02 23:00:00+09,1,0,0,0,0,경남,거제시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,1,15
2019-01-03 03:00:00+09,1,0,0,0,0,전남,영암군,차량단독,공작물충돌,중앙선 침범,승용차,없음,5,16
2019-01-03 07:00:00+09,1,0,0,0,0,울산,울주군,차량단독,도로이탈,안전운전 의무 불이행,승용차,없음,5,17
2019-01-03 12:00:00+09,1,1,0,1,0,서울,노원구,차대사람,기타,안전운전 의무 불이행,화물차,보행자,5,18
2019-01-03 17:00:00+09,1,0,0,0,0,서울,중구,차대사람,횡단중,안전운전 의무 불이행,승합차,보행자,5,19
2019-01-03 20:00:00+09,1,0,0,0,0,충남,공주시,차대차,정면충돌,신호위반,이륜차,화물차,5,20
2019-01-04 05:00:00+09,1,0,0,0,0,경기,안산시,차대차,기타,신호위반,자전거,승용차,3,21
2019-01-04 07:00:00+09,1,0,0,0,0,대구,달서구,차대사람,횡단중,안전운전 의무 불이행,화물차,보행자,5,22
2019-01-04 08:00:00+09,1,0,0,0,0,경북,칠곡군,차대차,기타,안전운전 의무 불이행,건설기계,승용차,5,23
2019-01-04 10:00:00+09,1,0,0,0,0,경기,평택시,차대차,정면충돌,신호위반,화물차,승용차,1,24
2019-01-04 15:00:00+09,1,0,0,0,0,경기,여주시,차대사람,횡단중,안전운전 의무 불이행,화물차,보행자,2,25
2019-01-05 01:00:00+09,1,0,0,0,0,경기,안성시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,26
2019-01-05 01:00:00+09,1,0,0,0,0,전북,전주시,차량단독,공작물충돌,안전운전 의무 불이행,승용차,없음,6,27
2019-01-05 02:00:00+09,1,0,0,0,0,강원,평창군,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,5,28
2019-01-05 04:00:00+09,1,0,0,0,0,부산,사하구,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,29
2019-01-05 08:00:00+09,1,1,0,1,0,대구,동구,차대차,측면충돌,안전운전 의무 불이행,화물차,화물차,4,30
2019-01-05 17:00:00+09,1,1,0,1,0,전남,순천시,차대차,추돌,안전운전 의무 불이행,화물차,화물차,5,31
2019-01-06 04:00:00+09,1,0,0,0,0,전북,완주군,차량단독,도로이탈,안전운전 의무 불이행,승용차,없음,5,32
2019-01-06 05:00:00+09,1,1,1,0,0,인천,남동구,차대사람,기타,안전운전 의무 불이행,승용차,보행자,2,33
2019-01-06 12:00:00+09,1,0,0,0,0,대구,달성군,차대차,측면충돌,과속,이륜차,특수차,1,34
2019-01-06 14:00:00+09,1,3,2,1,0,강원,횡성군,차대차,정면충돌,중앙선 침범,승용차,승용차,5,35
2019-01-06 15:00:00+09,1,0,0,0,0,충북,보은군,차량단독,전도,안전운전 의무 불이행,원동기장치자전거,없음,7,36
2019-01-06 15:00:00+09,1,2,1,1,0,전남,나주시,차대차,정면충돌,신호위반,화물차,승용차,1,37
2019-01-06 18:00:00+09,1,0,0,0,0,전북,김제시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,38
2019-01-06 20:00:00+09,1,0,0,0,0,인천,연수구,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,39
2019-01-06 21:00:00+09,1,1,0,1,0,강원,원주시,차량단독,공작물충돌,안전운전 의무 불이행,승용차,없음,5,40
2019-01-07 05:00:00+09,1,0,0,0,0,경남,거제시,차대차,기타,신호위반,승합차,이륜차,1,41
2019-01-07 05:00:00+09,1,0,0,0,0,대구,수성구,차대사람,횡단중,안전운전 의무 불이행,화물차,보행자,5,42
2019-01-07 09:00:00+09,1,0,0,0,0,충남,홍성군,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,43
2019-01-07 18:00:00+09,1,0,0,0,0,대전,중구,차대사람,횡단중,안전운전 의무 불이행,승합차,보행자,1,44
2019-01-07 18:00:00+09,1,0,0,0,0,경기,고양시,차대차,측면충돌,안전운전 의무 불이행,승용차,이륜차,5,45
